Model,Accuracy,Balanced Accuracy,Macro-F1,Brier Score
Stacking (Proposed),0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
LSTM,0.9516129032258065,0.9617777777777778,0.9471534227726177,0.07809560918972855
Ordinal LR (raw items),0.9032258064516129,0.9284444444444444,0.8905304172951233,0.12940697144183125
SVM (RBF),0.9032258064516129,0.9253333333333333,0.9109687010615802,0.11573653592790778
CatBoost,0.8709677419354839,0.884,0.8858181818181817,0.16201986079693578
XGBoost,0.8548387096774194,0.876,0.8769655741084312,0.21890471223288074
Random Forest,0.8387096774193549,0.868,0.8681695331695332,0.20251382911823548
HistGradientBoosting,0.8387096774193549,0.8506666666666668,0.8543896103896103,0.294423044206617
Calibrated LightGBM,0.8387096774193549,0.8364444444444444,0.8400699300699301,0.2071596517723879
Monotonic GBM (raw items),0.7419354838709677,0.7995555555555555,0.7825171786873913,0.3586596483590722
