Noise Rate,Repeat,Perturbation Seed,Accuracy,Balanced Accuracy,Macro-F1,Brier Score
0.0,1,42,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,2,43,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,3,44,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,4,45,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,5,46,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,6,47,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,7,48,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,8,49,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,9,50,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.0,10,51,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
0.1,1,42,0.8870967741935484,0.9235555555555555,0.8972285786931096,0.13943192880949817
0.1,2,43,0.9516129032258065,0.9555555555555555,0.9412717313646105,0.11011259505994073
0.1,3,44,0.9193548387096774,0.9031111111111111,0.9019243733529448,0.12273384972214561
0.1,4,45,0.9354838709677419,0.9364444444444444,0.9353991683991684,0.11878112385543534
0.1,5,46,0.8870967741935484,0.8982222222222221,0.8830215883407373,0.1774081719036753
0.1,6,47,0.9032258064516129,0.9173333333333333,0.9085497835497837,0.1097857809701586
0.1,7,48,0.9032258064516129,0.9062222222222222,0.9067294610151754,0.15756289217188432
0.1,8,49,0.8870967741935484,0.9062222222222222,0.8861678004535147,0.1831053286309047
0.1,9,50,0.8548387096774194,0.8586666666666666,0.8207100415923947,0.16641167985019387
0.1,10,51,0.8709677419354839,0.876,0.8520198810232404,0.21054050260677545
0.2,1,42,0.8870967741935484,0.9377777777777778,0.9095855580981439,0.18712002663261323
0.2,2,43,0.7741935483870968,0.7982222222222222,0.754954248366013,0.2599747774734513
0.2,3,44,0.8548387096774194,0.8617777777777779,0.8405187478500171,0.23416956824938706
0.2,4,45,0.9193548387096774,0.9173333333333332,0.9077106227106227,0.14195754603688146
0.2,5,46,0.7903225806451613,0.8377777777777778,0.815515211259892,0.29733738706463214
0.2,6,47,0.8709677419354839,0.8364444444444444,0.8364444444444444,0.14781343057442897
0.2,7,48,0.8870967741935484,0.8871111111111111,0.8838152391343881,0.16815076958428526
0.2,8,49,0.8709677419354839,0.9013333333333332,0.8742435016330017,0.21303492879695454
0.2,9,50,0.8548387096774194,0.8364444444444444,0.8046056260341976,0.23211952339990455
0.2,10,51,0.7741935483870968,0.7822222222222223,0.7624624624624625,0.32784515126775976
0.3,1,42,0.8225806451612904,0.8915555555555557,0.8604845446950709,0.2691151269765377
0.3,2,43,0.7580645161290323,0.8155555555555555,0.7823942208462332,0.31624474783237694
0.3,3,44,0.8548387096774194,0.8475555555555555,0.8587078330474556,0.23552689077419733
0.3,4,45,0.8870967741935484,0.9155555555555555,0.8998161053039102,0.15923023282729937
0.3,5,46,0.7903225806451613,0.8266666666666668,0.8144535840188013,0.34531989997888707
0.3,6,47,0.8387096774193549,0.8426666666666666,0.8190589056135276,0.19843903246686762
0.3,7,48,0.8709677419354839,0.9013333333333333,0.8812626262626264,0.200433300358308
0.3,8,49,0.8064516129032258,0.8711111111111111,0.8352559917354256,0.27557850059564487
0.3,9,50,0.7741935483870968,0.7822222222222223,0.7483941179593353,0.3047477852304301
0.3,10,51,0.8225806451612904,0.8346666666666666,0.8196533758639021,0.311833804349791
