Model,Severity Level,Recall
Random Forest,No Anxiety,0.8333333333333334
Random Forest,Mild Anxiety,0.8888888888888888
Random Forest,Moderate Anxiety,0.7777777777777778
Random Forest,Severe Anxiety,0.84
Random Forest,Very Severe Anxiety,1.0
SVM (RBF),No Anxiety,1.0
SVM (RBF),Mild Anxiety,0.8888888888888888
SVM (RBF),Moderate Anxiety,0.7777777777777778
SVM (RBF),Severe Anxiety,0.96
SVM (RBF),Very Severe Anxiety,1.0
HistGradientBoosting,No Anxiety,0.8333333333333334
HistGradientBoosting,Mild Anxiety,0.7777777777777778
HistGradientBoosting,Moderate Anxiety,0.7222222222222222
HistGradientBoosting,Severe Anxiety,0.92
HistGradientBoosting,Very Severe Anxiety,1.0
XGBoost,No Anxiety,0.8333333333333334
XGBoost,Mild Anxiety,0.8888888888888888
XGBoost,Moderate Anxiety,0.7777777777777778
XGBoost,Severe Anxiety,0.88
XGBoost,Very Severe Anxiety,1.0
LSTM,No Anxiety,1.0
LSTM,Mild Anxiety,0.8888888888888888
LSTM,Moderate Anxiety,1.0
LSTM,Severe Anxiety,0.92
LSTM,Very Severe Anxiety,1.0
Stacking (Proposed),No Anxiety,1.0
Stacking (Proposed),Mild Anxiety,1.0
Stacking (Proposed),Moderate Anxiety,0.8888888888888888
Stacking (Proposed),Severe Anxiety,1.0
Stacking (Proposed),Very Severe Anxiety,1.0
